experiment_id,group_cols,rmse_purchase,rmse_redeem,total_rmse
173,weekday|month_period|is_next_workday|is_workday_shift|is_month_end,54697450.97119482,63332100.520715,118029551.49190982
174,weekday|month_period|is_next_workday|is_workday_shift|holiday_len,52038820.11358413,62392598.31117603,114431418.42476016
175,weekday|month_period|is_next_workday|is_workday_shift|is_long_holiday,54586902.52881209,63938115.28647038,118525017.81528246
176,weekday|month_period|is_next_workday|is_month_end|holiday_len,50762908.72918816,61209501.34965496,111972410.07884312
177,weekday|month_period|is_next_workday|is_month_end|is_long_holiday,53371940.48864956,62784148.61921459,116156089.10786414
178,weekday|month_period|is_next_workday|holiday_len|is_long_holiday,52038820.11358413,62392598.31117603,114431418.42476016
179,weekday|month_period|is_workday_shift|is_month_end|holiday_len,51150373.37284077,61290770.68325647,112441144.05609724
180,weekday|month_period|is_workday_shift|is_month_end|is_long_holiday,53740597.550242044,62863382.29298312,116603979.84322517
181,weekday|month_period|is_workday_shift|holiday_len|is_long_holiday,52416854.086706676,62472328.59029576,114889182.67700243
182,weekday|month_period|is_month_end|holiday_len|is_long_holiday,51150373.37284077,61290770.68325647,112441144.05609724
183,weekday|is_holiday|is_next_workday|is_workday_shift|is_month_end,58660899.55150744,64092306.67673295,122753206.2282404
184,weekday|is_holiday|is_next_workday|is_workday_shift|holiday_len,60129678.78674117,65144674.63161644,125274353.41835761
185,weekday|is_holiday|is_next_workday|is_workday_shift|is_long_holiday,60129678.78674117,65144674.63161644,125274353.41835761
186,weekday|is_holiday|is_next_workday|is_month_end|holiday_len,58653179.47551704,64083750.69499502,122736930.17051207
187,weekday|is_holiday|is_next_workday|is_month_end|is_long_holiday,58653179.47551704,64083750.69499502,122736930.17051207
188,weekday|is_holiday|is_next_workday|holiday_len|is_long_holiday,60129678.78674117,65144674.63161644,125274353.41835761
189,weekday|is_holiday|is_workday_shift|is_month_end|holiday_len,58752751.8607465,64169045.351414286,122921797.2121608
190,weekday|is_holiday|is_workday_shift|is_month_end|is_long_holiday,58752751.8607465,64169045.351414286,122921797.2121608
191,weekday|is_holiday|is_workday_shift|holiday_len|is_long_holiday,60219244.5469271,65258062.12160309,125477306.6685302
192,weekday|is_holiday|is_month_end|holiday_len|is_long_holiday,58752751.8607465,64169045.351414286,122921797.2121608
193,weekday|is_next_workday|is_workday_shift|is_month_end|holiday_len,58653179.47551704,64083750.69499502,122736930.17051207
194,weekday|is_next_workday|is_workday_shift|is_month_end|is_long_holiday,60147503.02533118,65862945.1593552,126010448.18468638
195,weekday|is_next_workday|is_workday_shift|holiday_len|is_long_holiday,60129678.78674117,65144674.63161644,125274353.41835761
196,weekday|is_next_workday|is_month_end|holiday_len|is_long_holiday,58653179.47551704,64083750.69499502,122736930.17051207
197,weekday|is_workday_shift|is_month_end|holiday_len|is_long_holiday,58752751.8607465,64169045.351414286,122921797.2121608
198,month_period|is_holiday|is_next_workday|is_workday_shift|is_month_end,58168030.15164289,65089913.25373744,123257943.40538034
199,month_period|is_holiday|is_next_workday|is_workday_shift|holiday_len,58382684.05457163,65342117.70458929,123724801.75916092
200,month_period|is_holiday|is_next_workday|is_workday_shift|is_long_holiday,58545441.30251358,65744016.63079543,124289457.933309
201,month_period|is_holiday|is_next_workday|is_month_end|holiday_len,57675375.34125069,64605310.38167809,122280685.72292878
202,month_period|is_holiday|is_next_workday|is_month_end|is_long_holiday,58200976.20994627,65271597.48342069,123472573.69336696
203,month_period|is_holiday|is_next_workday|holiday_len|is_long_holiday,58570405.95341075,65533346.19805927,124103752.15147002
204,month_period|is_holiday|is_workday_shift|is_month_end|holiday_len,59316419.01486186,67565326.26904812,126881745.28390998
205,month_period|is_holiday|is_workday_shift|is_month_end|is_long_holiday,59827604.63016423,68202702.45648374,128030307.08664796
206,month_period|is_holiday|is_workday_shift|holiday_len|is_long_holiday,59908871.73043135,67986761.36927944,127895633.09971079
207,month_period|is_holiday|is_month_end|holiday_len|is_long_holiday,59426628.752219744,68130409.58235866,127557038.3345784
208,month_period|is_next_workday|is_workday_shift|is_month_end|holiday_len,57484730.70844767,64411326.734656505,121896057.44310418
209,month_period|is_next_workday|is_workday_shift|is_month_end|is_long_holiday,77412358.57429253,80943466.96135156,158355825.53564408
210,month_period|is_next_workday|is_workday_shift|holiday_len|is_long_holiday,58382684.05457163,65342117.70458929,123724801.75916092
211,month_period|is_next_workday|is_month_end|holiday_len|is_long_holiday,57675375.34125069,64605310.38167809,122280685.72292878
212,month_period|is_workday_shift|is_month_end|holiday_len|is_long_holiday,59316419.01486186,67565326.26904812,126881745.28390998
213,is_holiday|is_next_workday|is_workday_shift|is_month_end|holiday_len,63751213.040406555,66269147.347608946,130020360.38801551
214,is_holiday|is_next_workday|is_workday_shift|is_month_end|is_long_holiday,64170785.03382835,66797996.63667443,130968781.67050278
215,is_holiday|is_next_workday|is_workday_shift|holiday_len|is_long_holiday,64842597.01099021,67335404.08255875,132178001.09354895
216,is_holiday|is_next_workday|is_month_end|holiday_len|is_long_holiday,63789823.86882546,66418320.0793678,130208143.94819325
217,is_holiday|is_workday_shift|is_month_end|holiday_len|is_long_holiday,65036261.05077858,69216407.53324372,134252668.58402228
218,is_next_workday|is_workday_shift|is_month_end|holiday_len|is_long_holiday,63751213.040406555,66269147.347608946,130020360.38801551
219,weekday|month_period|is_holiday|is_next_workday|is_workday_shift|is_month_end,50839699.69602393,61229452.17579913,112069151.87182307
220,weekday|month_period|is_holiday|is_next_workday|is_workday_shift|holiday_len,52038820.11358413,62392598.31117603,114431418.42476016
221,weekday|month_period|is_holiday|is_next_workday|is_workday_shift|is_long_holiday,52038820.11358413,62392598.31117603,114431418.42476016
222,weekday|month_period|is_holiday|is_next_workday|is_month_end|holiday_len,50762908.72918816,61209501.34965496,111972410.07884312
223,weekday|month_period|is_holiday|is_next_workday|is_month_end|is_long_holiday,50762908.72918816,61209501.34965496,111972410.07884312
224,weekday|month_period|is_holiday|is_next_workday|holiday_len|is_long_holiday,52038820.11358413,62392598.31117603,114431418.42476016
225,weekday|month_period|is_holiday|is_workday_shift|is_month_end|holiday_len,51150373.37284077,61290770.68325647,112441144.05609724
226,weekday|month_period|is_holiday|is_workday_shift|is_month_end|is_long_holiday,51150373.37284077,61290770.68325647,112441144.05609724
227,weekday|month_period|is_holiday|is_workday_shift|holiday_len|is_long_holiday,52416854.086706676,62472328.59029576,114889182.67700243
228,weekday|month_period|is_holiday|is_month_end|holiday_len|is_long_holiday,51150373.37284077,61290770.68325647,112441144.05609724
229,weekday|month_period|is_next_workday|is_workday_shift|is_month_end|holiday_len,50762908.72918816,61209501.34965496,111972410.07884312
230,weekday|month_period|is_next_workday|is_workday_shift|is_month_end|is_long_holiday,53371940.48864956,62784148.61921459,116156089.10786414
231,weekday|month_period|is_next_workday|is_workday_shift|holiday_len|is_long_holiday,52038820.11358413,62392598.31117603,114431418.42476016
232,weekday|month_period|is_next_workday|is_month_end|holiday_len|is_long_holiday,50762908.72918816,61209501.34965496,111972410.07884312
233,weekday|month_period|is_workday_shift|is_month_end|holiday_len|is_long_holiday,51150373.37284077,61290770.68325647,112441144.05609724
234,weekday|is_holiday|is_next_workday|is_workday_shift|is_month_end|holiday_len,58653179.47551704,64083750.69499502,122736930.17051207
235,weekday|is_holiday|is_next_workday|is_workday_shift|is_month_end|is_long_holiday,58653179.47551704,64083750.69499502,122736930.17051207
236,weekday|is_holiday|is_next_workday|is_workday_shift|holiday_len|is_long_holiday,60129678.78674117,65144674.63161644,125274353.41835761
237,weekday|is_holiday|is_next_workday|is_month_end|holiday_len|is_long_holiday,58653179.47551704,64083750.69499502,122736930.17051207
238,weekday|is_holiday|is_workday_shift|is_month_end|holiday_len|is_long_holiday,58752751.8607465,64169045.351414286,122921797.2121608
239,weekday|is_next_workday|is_workday_shift|is_month_end|holiday_len|is_long_holiday,58653179.47551704,64083750.69499502,122736930.17051207
240,month_period|is_holiday|is_next_workday|is_workday_shift|is_month_end|holiday_len,57484730.70844767,64411326.734656505,121896057.44310418
